1000,Sequence Control
1101,No RAM for System Globals
1102,Configuration module not found
1103,Wrong configuration module version
1104,Multiple definition of Task Configuration List
1105,Multiple definition of External IO Connection list
1106,Multiple definition of Internal IO Connection list
1107,Multiple definition of Event connection list
1108,Task Configuration list missing
1109,External IO connection list missing
1110,Internal IO connection list missing
1111,Event Connection List missing
1112,Unknown Configuration List
1114,Error at writing command
1115,Error at writing prior command
1116,System command code too large
1117,System command code or channel not defined
1118,No axis or channel code in command
1120,Error with command distribution
1121,User ISR cannot be installed
1122,PLC date/time cannot be set at NC module
1123,Error at configuring the system
1125,Semaphore cannot be created
1126,Interface cannot be initialized
1127,Interface cannot be created
1128,Standard interface cannot be initialized
1129,Interface cannot be configured
1130,Command parameter unknown
1131,Error in receiving external Event
1132,DPR Response Fifo - Error during creation of Critical Section
1140,End mark missing / too many elements
1141,Not enough RAM for task list
1142,Channel number is too large
1143,Multiple task definition
1144,Task module not found
1145,Not enough RAM for task VSECT
1146,Task cannot be created
1147,Task cannot be started
1148,Error reading task control block
1149,Parameter module not found
1150,Wrong parameter module version
1151,Error writing INIT command
1152,INIT command has not been acknowledged
1160,End mark missing / too many elements
1161,Interface missing in module interface list
1162,Module missing in task list
1163,Multiple definition of connection
1164,Interface cannot be external
1165,Unknown interface type
1166,Data module not supported
1167,Unknown attribute
1170,End mark missing / too many elements
1171,Module missing in task list
1172,Interface missing in module interface list
1173,Interface types are not equal
1174,Same data flow direction
1179,Unknown interface type
1180,Multiple definition of connection
1181,Block lengths are not equal
1190,End mark missing / too many elements
1191,Module missing in task list
1192,Multiple definition of comand configuration list
1193,System command code too large
1194,Command missing in module command list
1195,Command interface not found
1196,Multiple definition of command code
1200,End mark missing / too many elements
1201,Module missing in task list
1202,Event missing in event send list
1203,Event missing in event receive list
1204,Multiple definition of event connection
1210,Invalid parameter for 'Module Synchronization' command
1211,Module Synchronization not possible (both SYNC lines connected ?)
1220,Command not accepted network not ready
1251,Error at writing prior command
1252,Error at writing prior command
1253,Error at writing prior command
1254,Error at writing prior command
1255,Error at writing prior command
1256,Error at writing prior command
1257,Error at writing prior command
1258,Error at writing prior command
1259,Error at writing prior command
1261,Error at writing command
1262,Error at writing command
1263,Error at writing command
1264,Error at writing command
1265,Error at writing command
1266,Error at writing command
1267,Error at writing command
1268,Error at writing command
